,Team ID,Team Name ,Year,1-4ft FGM,1-4ft FGA,1-4ft FG%,5-9ft FGM,5-9ft FGA,5-9ft FG%,10-14ft FGM,10-14ft FGA,10-14ft FG%,15-19ft FGM,15-19ft FGA,15-19ft FG%,20-24ft FGM,20-24ft FGA,20-24ft FG%,25-29ft FGM,25-29ft FGA,25-29ft FG%,30-34ft FGM,30-34ft FGA,30-34ft FG%,35-39ft FGM,35-39ft FGA,35-39ft FG%,41ft FGM,41ft FGA,41ft FG%
1,1610612737,Atlanta Hawks,17,18.3,31.3,0.586,2.3,6.5,0.357,2.2,5.7,0.392,5,11.8,0.428,6.5,17.9,0.366,3.6,10.8,0.331,0,0.3,0.143,0.1,0.2,0.4,0,0.2,0
2,1610612738,Boston Celtics,17,17.4,29.2,0.595,2.9,7,0.415,2,4.8,0.425,3.1,7.4,0.411,7.3,19.1,0.383,5.9,17,0.348,0,0.3,0.125,0,0.2,0.167,0,0.3,0
3,1610612751,Brooklyn Nets,17,18.4,31.8,0.58,3.9,9.3,0.42,2.2,5.5,0.401,1.9,5.4,0.345,6.6,18.5,0.356,4.8,14.1,0.338,0.1,0.4,0.143,0,0.2,0,0,0.3,0.042
4,1610612766,Charlotte Hornets,17,15.9,27,0.59,3.3,8.4,0.395,2.7,6.4,0.426,4.7,12.2,0.387,5.9,16.2,0.365,5.1,14.8,0.347,0,0.2,0,0,0.2,0,0,0.2,0.059
5,1610612741,Chicago Bulls,17,16.8,29,0.579,4.4,9.9,0.441,3.1,8,0.387,5.2,13.5,0.383,6,16.1,0.377,3.1,10.3,0.305,0.1,0.1,0.5,0,0.1,0,0,0.2,0
6,1610612739,Cleveland Cavaliers,17,17,26.8,0.635,2.4,6.7,0.364,2.4,6,0.4,3.9,8.5,0.459,8.3,21.1,0.393,5.7,15.1,0.381,0.2,0.7,0.289,0,0.2,0.2,0,0.2,0
7,1610612742,Dallas Mavericks,17,12.2,20.1,0.606,3,6.9,0.436,3.2,7.1,0.447,5.8,14.3,0.405,8.1,21.9,0.371,3.9,11.6,0.335,0.1,0.3,0.25,0,0.1,0,0,0.3,0
8,1610612743,Denver Nuggets,17,20.9,35,0.596,3.3,7.6,0.435,2.1,5.5,0.38,3,7.5,0.407,6.5,17.2,0.379,5.3,14.5,0.37,0.1,0.3,0.182,0,0.1,0,0,0.3,0
9,1610612765,Detroit Pistons,17,15.5,26.2,0.594,5.3,12.8,0.409,4.2,9.5,0.447,6.4,14.7,0.432,4.1,10.9,0.378,4.3,13.9,0.306,0.1,0.3,0.25,0,0.3,0,0,0.4,0.029
10,1610612744,Golden State Warriors,17,19.6,29.8,0.657,2.3,5.5,0.412,3.3,7.7,0.427,4.7,10.2,0.46,5.9,14,0.422,7.1,18.9,0.378,0.3,0.7,0.349,0,0.1,0,0,0.5,0.027
11,1610612745,Houston Rockets,17,20.7,32.7,0.632,2.2,6.2,0.361,1.1,3.1,0.373,1.5,3.8,0.394,6.3,17.1,0.369,8.3,23.7,0.35,0.2,0.6,0.37,0,0.1,0.25,0,0.3,0
